model_type,use_momentum,method,init_method,lr,cv_mse,cv_r2
normal,False,sto,zero,0.01,0.0856600832919799,0.8536840095497499
normal,False,sto,zero,0.001,0.15648393265775254,0.7322323364592274
normal,False,sto,zero,0.0001,1.5061335442811739,-1.5764761093189934
normal,False,sto,xavier,0.01,0.08381602486072288,0.8564426104703058
normal,False,sto,xavier,0.001,0.15123644609562345,0.7412145266823912
normal,False,sto,xavier,0.0001,1.5211272283191744,-1.601884329946288
normal,False,mini,zero,0.01,0.10063123514969734,0.827863355641902
normal,False,mini,zero,0.001,0.9605111704480711,-0.6434082036387316
normal,False,mini,zero,0.0001,3.0763764460674907,-4.261052532193056
normal,False,mini,xavier,0.01,0.10016692626399983,0.8286743332664068
normal,False,mini,xavier,0.001,0.9466427360052169,-0.6190989899947351
normal,False,mini,xavier,0.0001,3.1823552385831686,-4.442061064971974
normal,False,batch,zero,0.01,1.2030674551120535,-1.0582414042109867
normal,False,batch,zero,0.001,4.510661910311568,-6.713203155429099
normal,False,batch,zero,0.0001,103.66393412627956,-176.2457294016017
normal,False,batch,xavier,0.01,1.2112829017429965,-1.0719386134907494
normal,False,batch,xavier,0.001,4.44746557538419,-6.606141359239878
normal,False,batch,xavier,0.0001,103.76286430933014,-176.40689689072738
normal,True,sto,zero,0.01,0.15592403561644855,0.7332073423887054
normal,True,sto,zero,0.001,1.5058415671336067,-1.5759682931718872
normal,True,sto,zero,0.0001,9.576495370786903,-15.37430295623262
normal,True,sto,xavier,0.01,0.1558968817119681,0.7332194983848243
normal,True,sto,xavier,0.001,1.528515442940406,-1.614698642679605
normal,True,sto,xavier,0.0001,9.758449005688673,-15.688959127839182
normal,True,mini,zero,0.01,0.9601589629630709,-0.6428029298235295
normal,True,mini,zero,0.001,3.07865149810462,-4.264938137880038
normal,True,mini,zero,0.0001,87.3008091991084,-148.26766959179824
normal,True,mini,xavier,0.01,0.9527559254721139,-0.6296542849560043
normal,True,mini,xavier,0.001,3.061908759139872,-4.23881239911356
normal,True,mini,xavier,0.0001,86.85595439188488,-147.46845715816505
normal,True,batch,zero,0.01,4.601207719522159,-6.868057259578339
